User,Hardware (CPU & memory),Operating system,Programming language,SNR,Rate,"Constellation (PAM, PSK, QAM)",Constellation size (M),Quadrature nodes per real part (n),"Operation structure (loop, matrix)","Exponentiation (a^b, e^b·ln(a))","Parallelization (no, SIMD, OMP, cuda, MATLAB)","Maximization algorithm (grid, gradient descent, Newton)",Tolerance,Number of iterations,Total consumed time (ms),Total consumed time (computation units E0) ratio,Total consumed time ratio normalized with M^2
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,10,Matrix,e^b*ln(a),No,"Newton (with interpolation, max_iter = 100)",1E-04,1,22,2.200,0.005
,,,,,,,128,10,,,,,1E-04,1,63,2.864,0.004
,,,,,,,256,10,,,,,1E-04,1,154,3.020,0.002
,,,,,,,512,10,,,,,1E-04,1,669,2.731,0.003
,,,,,,,1024,10,,,,,1E-04,1,5251,6.435,0.005
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,10,Matrix,e^b*ln(a),No,"Newton (with interpolation, max_iter = 100)",1E-10,2,68,6.800,0.017
,,,,,,,128,10,,,,,1E-10,2,117,5.318,0.007
,,,,,,,256,10,,,,,1E-10,2,348,6.824,0.005
,,,,,,,512,10,,,,,1E-10,2,1141,4.657,0.004
,,,,,,,1024,10,,,,,1E-10,2,10764,13.191,0.010
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,20,Matrix,e^b*ln(a),No,"Newton (rho = 0.5, correct derivatives)",1E-07,3,107,9.727,0.026
,,,,,,,128,20,,,,,1E-07,3,295,8.429,0.018
,,,,,,,256,20,,,,,1E-07,3,1301,8.559,0.020
,,,,,,,512,20,,,,,1E-07,3,9003,11.662,0.034
,,,,,,,1024,20,,,,,1E-07,3,384737,45.499,0.367
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,20,Matrix,e^b*ln(a),No,"Newton (rho = 0.5, correct derivatives)",1E-04,2,92,8.364,0.022
,,,,,,,128,20,,,,,1E-04,2,244,6.971,0.015
,,,,,,,256,20,,,,,1E-04,2,946,6.224,0.014
,,,,,,,512,20,,,,,1E-04,2,5093,6.597,0.019
,,,,,,,1024,20,,,,,1E-04,2,275279,32.554,0.263
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,10,Matrix,e^b*ln(a),No,"Newton (rho = 0.5, correct derivatives)",1E-07,3,72,7.200,0.018
,,,,,,,128,10,,,,,1E-07,3,168,7.636,0.010
,,,,,,,256,10,,,,,1E-07,3,342,6.706,0.005
,,,,,,,512,10,,,,,1E-07,3,1413,5.767,0.005
,,,,,,,1024,10,,,,,1E-07,3,14614,17.909,0.014
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,10,Matrix,e^b*ln(a),No,"Newton (rho = 0.5, correct derivatives)",1E-04,2,68,6.800,0.017
,,,,,,,128,10,,,,,1E-04,2,149,6.773,0.009
,,,,,,,256,10,,,,,1E-04,2,309,6.059,0.005
,,,,,,,512,10,,,,,1E-04,2,1148,4.686,0.004
,,,,,,,1024,10,,,,,1E-04,2,9960,12.206,0.009
Alba,"i5-8250U (8-core CPU, 8GB)",Windows 11 Home 64 bits,MATLAB,2,0.9,PAM,2,20,Matrix,e^b·ln(a),No,"Newton amb
Hermite interp.
(max iteracions = 100)",1E-10,3,45.947,,11.487
,,,,,,,4,20,,,,,1E-10,3,10.132,,0.633
,,,,,,,8,20,,,,,1E-10,3,24.908,,0.389
,,,,,,,16,20,,,,,1E-10,3,57.786,,0.226
,,,,,,,32,20,,,,,1E-10,3,164.13,,0.160
,,,,,,,64,20,,,,,1E-10,3,535.74,,0.131
,,,,,,,128,20,,,,,1E-10,3,2115.7,,0.129
,,,,,,,256,20,,,,,1E-10,3,8937.9,,0.136
,,,,,,,512,20,,,,,1E-10,3,489050.2,,1.866
Alba,"i5-8250U (8-core CPU, 8GB)",Windows 11 Home 64 bits,MATLAB,2,0.5,PAM,2,20,Matrix,e^b·ln(a),No,"Newton amb
Hermite interp.
(max iteracions = 100)",1E-10,0,32.798,,8.200
,,,,,,,4,20,,,,,1E-10,0,1.11634,,0.070
,,,,,,,8,20,,,,,1E-10,0,17.642,,0.276
,,,,,,,16,20,,,,,1E-10,0,21.522,,0.084
,,,,,,,32,20,,,,,1E-10,0,37.401,,0.037
,,,,,,,64,20,,,,,1E-10,0,118.56,,0.029
,,,,,,,128,20,,,,,1E-10,0,492.47,,0.030
,,,,,,,256,20,,,,,1E-10,0,1873.6,,0.029
,,,,,,,512,20,,,,,1E-10,0,36644,,0.140
Alba,"i5-8250U (8-core CPU, 8GB)",Windows 11 Home 64 bits,MATLAB,1,0.5,PAM,2,20,Matrix,e^b·ln(a),No,"Newton amb
Hermite interp.
(max iteracions = 100)",1E-10,3,17.83,,4.458
,,,,,,,4,20,,,,,1E-10,3,2.5024,,0.156
,,,,,,,8,20,,,,,1E-10,3,20.88,,0.326
,,,,,,,16,20,,,,,1E-10,3,67.907,,0.265
,,,,,,,32,20,,,,,1E-10,3,143.45,,0.140
,,,,,,,64,20,,,,,1E-10,3,553.88,,0.135
,,,,,,,128,20,,,,,1E-10,3,1938,,0.118
,,,,,,,256,20,,,,,1E-10,3,8746.3,,0.133
,,,,,,,512,20,,,,,1E-10,,446732.1,,1.704
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,20,Matrix,e^b*ln(a),No,"Gradient descent (with interpolation, max_iter = 100)",1E-07,3,128,11.636,0.031
,,,,,,,128,20,,,,,1E-07,3,397,11.343,0.024
,,,,,,,256,20,,,,,1E-07,3,1623,10.678,0.025
,,,,,,,512,20,,,,,1E-07,3,13442,17.412,0.051
,,,,,,,1024,20,,,,,1E-07,3,448196,53.003,0.427
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,20,Matrix,e^b*ln(a),No,"Gradient descent (with interpolation, max_iter = 100)",1E-04,2,105,9.545,0.026
,,,,,,,128,20,,,,,1E-04,2,377,10.771,0.023
,,,,,,,256,20,,,,,1E-04,2,1143,7.520,0.017
,,,,,,,512,20,,,,,1E-04,2,9780,12.668,0.037
,,,,,,,1024,20,,,,,1E-04,2,348674,41.234,0.333
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,20,Matrix,e^b*ln(a),No,"Gradient descent (with interpolation, max_iter = 100)",1E-10,3,136,12.364,0.033
,,,,,,,128,20,,,,,1E-10,3,394,11.257,0.024
,,,,,,,256,20,,,,,1E-10,3,1456,9.579,0.022
,,,,,,,512,20,,,,,1E-10,3,13576,17.585,0.052
,,,,,,,1024,20,,,,,1E-10,3,489724,57.914,0.467
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,10,Matrix,e^b*ln(a),No,"Gradient descent (with interpolation, max_iter = 100)",1E-07,3,46,4.600,0.011
,,,,,,,128,10,,,,,1E-07,3,112,5.091,0.007
,,,,,,,256,10,,,,,1E-07,3,330,6.471,0.005
,,,,,,,512,10,,,,,1E-07,3,1356,5.535,0.005
,,,,,,,1024,10,,,,,1E-07,3,10628,13.025,0.010
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,10,Matrix,e^b*ln(a),No,"Gradient descent (with interpolation, max_iter = 100)",1E-04,2,47,4.700,0.011
,,,,,,,128,10,,,,,1E-04,2,99,4.500,0.006
,,,,,,,256,10,,,,,1E-04,2,254,4.980,0.004
,,,,,,,512,10,,,,,1E-04,2,1027,4.192,0.004
,,,,,,,1024,10,,,,,1E-04,2,10234,12.542,0.010
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,10,Matrix,e^b*ln(a),No,"Gradient descent (with interpolation, max_iter = 100)",1E-10,3,61,6.100,0.015
,,,,,,,128,10,,,,,1E-10,3,124,5.636,0.008
,,,,,,,256,10,,,,,1E-10,3,450,8.824,0.007
,,,,,,,512,10,,,,,1E-10,3,1490,6.082,0.006
,,,,,,,1024,10,,,,,1E-10,3,11591,14.205,0.011
